artist,artist_code,title,title_code,rank,date,hour,site
Wanna One (워너원) - 트리플포지션,2189926,캥거루 (Kangaroo) (Prod. ZICO),31113241,83,2018-09-29,16,melon
정승환,792091,잘 지내요,31299371,84,2018-09-29,16,melon
Wanna One (워너원),1865973,Beautiful,30725482,85,2018-09-29,16,melon
하은 (라코스테남),2297933,열애중 (답가),31306201,86,2018-09-29,16,melon
HAON (김하온),2112493,"NOAH (Feat. 박재범, Hoody)",31288752,87,2018-09-29,16,melon
Wanna One (워너원),1865973,BOOMERANG (부메랑),30960341,88,2018-09-29,16,melon
"레이 (LAY), Alan Walker",715178,Sheep (Alan Walker Relift),31278454,89,2018-09-29,16,melon
세븐틴,861436,어쩌나,31189085,90,2018-09-29,16,melon
(여자)아이들,2137482,LATATA,31055324,91,2018-09-29,16,melon
길구봉구,500421,이 별,30637776,92,2018-09-29,16,melon
헤이즈 (Heize),751611,비도 오고 그래서 (Feat. 신용재),30492279,93,2018-09-29,16,melon
Wanna One (워너원) - 더힐,2189928,모래시계 (Prod. 헤이즈),31113243,94,2018-09-29,16,melon
GOT7 (갓세븐),751059,Lullaby,31297364,95,2018-09-29,16,melon
Wanna One (워너원),1865973,약속해요 (I.P.U.),30930312,96,2018-09-29,16,melon
NCT DREAM,1066419,We Go Up,31279316,97,2018-09-29,16,melon
여자친구 (GFRIEND),828478,여름여름해 (Sunny Summer),31196764,98,2018-09-29,16,melon
BIGBANG,198094,꽃 길,30948698,99,2018-09-29,16,melon
빈첸 (VINXEN),2113204,유재석(prod.진대호),31312443,100,2018-09-29,16,melon
